07:30 - 08:00;40627;40462
08:00 - 08:30;44111;44564
08:30 - 09:00;46000;46979
09:00 - 09:30;46670;48323
09:30 - 10:00;47020;48331
10:00 - 10:30;47551;49077
10:30 - 11:00;47579;49424
11:00 - 11:30;47707;49737
11:30 - 12:00;47912;50124
12:00 - 12:30;48141;50382
12:30 - 13:00;48528;50414
13:00 - 13:30;48546;50434
13:30 - 14:00;48287;50033
14:00 - 14:30;47997;49542
14:30 - 15:00;48137;49006
15:00 - 15:30;48286;48614
15:30 - 16:00;48304;48228
16:00 - 16:30;48922;48078
16:30 - 17:00;50575;49122
17:00 - 17:30;52765;51120
17:30 - 18:00;54104;53720
18:00 - 18:30;54388;54738
18:30 - 19:00;54296;54511
19:00 - 19:30;53785;54335
19:30 - 20:00;52931;53582
20:00 - 20:30;51475;52628
20:30 - 21:00;49834;51248
21:00 - 21:30;48161;49804
21:30 - 22:00;46237;47983
22:00 - 22:30;43940;46160
22:30 - 23:00;41551;43817
23:00 - 23:30;39429;41390
23:30 - 00:00;37005;39616
00:00 - 00:30;34989;37599
00:30 - 01:00;33806;36174
01:00 - 01:30;33210;35596
01:30 - 02:00;33280;35466
02:00 - 02:30;33063;34119
02:30 - 03:00;32752;32962
03:00 - 03:30;32714;32602
03:30 - 04:00;32509;32523
04:00 - 04:30;31789;32161
04:30 - 05:00;31076;31667
05:00 - 05:30;30590;31243
05:30 - 06:00;30773;31247
06:00 - 06:30;31628;32170
06:30 - 07:00;33892;33444
07:00 - 07:30;37369;37563
07:30 - 08:00;41566;41595
08:00 - 08:30;45384;45884
08:30 - 09:00;47235;48180
09:00 - 09:30;47645;49253
09:30 - 10:00;47961;49030
10:00 - 10:30;48450;49668
10:30 - 11:00;48367;49760
11:00 - 11:30;48253;49808
11:30 - 12:00;48352;50003
12:00 - 12:30;48445;49861
12:30 - 13:00;48674;49633
13:00 - 13:30;49071;49607
13:30 - 14:00;48696;49338
14:00 - 14:30;48106;48993
14:30 - 15:00;48359;48934
15:00 - 15:30;48305;48871
15:30 - 16:00;48039;48638
16:00 - 16:30;48267;48381
16:30 - 17:00;49796;49301
17:00 - 17:30;51750;51102
17:30 - 18:00;52900;53208
18:00 - 18:30;53189;53867
18:30 - 19:00;52799;53572
19:00 - 19:30;52012;53509
19:30 - 20:00;50835;52960
20:00 - 20:30;49279;51693
20:30 - 21:00;47849;50303
21:00 - 21:30;46275;48943
21:30 - 22:00;44544;47128
22:00 - 22:30;42613;45204
22:30 - 23:00;40606;43027
23:00 - 23:30;39075;41329
23:30 - 00:00;37238;39928
00:00 - 00:30;35415;38227
00:30 - 01:00;34185;36988
01:00 - 01:30;33896;36012
01:30 - 02:00;33875;35952
